"filename", "language", "JavaScript", "JSON", "SQL", "Prisma", "comment", "blank", "total"
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231113103345_property_units\migration.sql", "SQL", 0, 0, 22, 0, 12, 7, 41
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231118104434_property_unit_mto_m\migration.sql", "SQL", 0, 0, 9, 0, 6, 6, 21
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231118110548_payment\migration.sql", "SQL", 0, 0, 1, 0, 7, 1, 9
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231120065004_installments\migration.sql", "SQL", 0, 0, 2, 0, 1, 1, 4
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231212135620_currency_symbol_final\migration.sql", "SQL", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\schema.prisma", "Prisma", 0, 0, 0, 546, 5, 49, 600
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\seed.js", "JavaScript", 116, 0, 0, 0, 24, 3, 143
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\seeds\languages.js", "JavaScript", 29, 0, 0, 0, 0, 1, 30
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\seeds\resources.js", "JavaScript", 201, 0, 0, 0, 1, 1, 203
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\seeds\role.js", "JavaScript", 29, 0, 0, 0, 0, 1, 30
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\seeds\role_resources.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\seeds\teams.js", "JavaScript", 40, 0, 0, 0, 0, 1, 41
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\seeds\users.js", "JavaScript", 58, 0, 0, 0, 0, 1, 59
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\AddressRoute.js", "JavaScript", 41, 0, 0, 0, 0, 6, 47
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\AminitiesRoute.js", "JavaScript", 32, 0, 0, 0, 1, 6, 39
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\AnnouncementRoute.js", "JavaScript", 46, 0, 0, 0, 0, 6, 52
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\ApplicationRoute.js", "JavaScript", 39, 0, 0, 0, 0, 5, 44
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\routes\api\ArticlesRoute.js", "JavaScript", 38, 0, 0, 0, 0, 6, 44
